"id","code","name"
activity_453003,453003,VENTA E INSTALACION DE ALARMAS Y OTROS SISTEMAS ELECTRICOS
activity_453004,453004,REPARACION DE CABLEADO DE COMUNICACIONES
activity_453005,453005,INSTALACIÓN DE ALARMAS Y OTROS SISTEMAS DE SEGURIDAD
activity_453006,453006,INSTALACION Y MANTENIMIENTO DE AIRE ACONDICIONADO
activity_453007,453007,INSTALACION Y MANTENIMIENTO DE ASCENSORES (ELEVADORES)
activity_453008,453008,INSTALACION Y MANTENIMIENTO DE CABLEADO DE COMUNICACIONES Y/O ENERGIA ELECTRICA
activity_453009,453009,REPARACION DE PORTONES ELECTRICOS
activity_453010,453010,INSTALACION Y MANTENIMIENTO DE PORTONES ELECTRICOS
activity_453011,453011,INSTALACION Y MANTENIMIENTO DE CONMUTADORES Y OTROS SISTEMAS PARA TELECOMUNICACI
activity_454001,454001,SERVICIOS DE TERMINACIÓN Y ACABADO DE EDIFICIOS
activity_455001,455001,ALQUILER DE EQUIPO DE CONSTRUCCION O DEMOLICION CON OPERADORES
activity_501001,501001,VENTA AL POR MAYOR Y MENOR DE VEHICULOS NUEVOS Y/O USADOS (PARTIDAS ARANCELARIAS 8702 Y 8704)
activity_501002,501002,"VENTA AL POR MAYOR Y MENOR DE VEHICULOS NUEVOS Y/O USADOS, EXCEPTO PARTIDAS ARANCELARIAS 8702 Y 8704"
activity_502001,502001,"LAVADO, ENCERADO Y PULIDO DE AUTOMÓVILES (LAVA CAR)"
activity_502002,502002,SERVICIOS DE  ALINEAMIENTO Y REPARACIÓN DE LLANTAS
activity_502003,502003,SERVICIO DE REPARACION DE TODA CLASE DE VEHICULOS Y SUS PARTES
activity_502004,502004,SERVICIO DE ENDEREZADO Y PINTURA PARA TODA CLASE DE VEHICULO
activity_502007,502007,AUTODECORACIóN
activity_502008,502008,SERVICIO DE REVISION TECNICA VEHICULAR(DIAGNOSTICOS POR ESCANER)
activity_503002,503002,VENTA DE REPUESTOS USADOS PARA AUTOMOVILES
activity_503004,503004,VENTA DE REPUESTOS NUEVOS PARA AUTOMOVILES
activity_503005,503005,COMERCIALIZACION DE LLANTAS (NEUMATICAS) PARA VEHICULOS AUTOMOTORES
activity_503006,503006,ACTIVIDADES DE DESARME DE VEHICULOS Y VENTA DE REPUESTOS
activity_504001,504001,VENTA DE MOTOCICLETAS
activity_504003,504003,VENTA DE PARTES O ACCESORIOS DE MOTOCICLETAS
activity_504004,504004,SERVICIO DE REPARACION DE TODA CLASE DE MOTOCICLETAS Y SUS PARTES
activity_505001,505001,VENTA DE COMBUSTIBLES (CONOCIDAS COMO GASOLINERAS O BOMBAS)
activity_505002,505002,"VENTA DE LUBRICANTES, ACEITES, GRASAS Y PRODUCTOS DE LIMPIEZA PARA AUTOMOTORES"
activity_505003,505003,COMERCIO DE COMBUSTIBLE SIN PUNTO FIJO (PEDDLER)
activity_511001,511001,"COMISIONISTAS, AGENTES DE VENTAS, ORGANIZADORES DE SUBASTAS,TIQUETERAS, ETC."
activity_512102,512102,VENTA AL POR MAYOR DE FLORES Y PLANTAS DE TODO TIPO
activity_512201,512201,VENTA AL POR MAYOR DE OTROS ALIMENTOS INCLUIDOS EN CANASTA BÁSICA
activity_512202,512202,VENTA AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS INCLUIDAS EN CANASTA BÁSICA
activity_512204,512204,COMERCIO AL POR MAYOR DE PRODUCTOS LáCTEOS
activity_512208,512208,COMERCIO AL POR MAYOR DE PRODUCTOS DE CONFITERíA
activity_512209,512209,COMERCIO AL POR MAYOR DE PRODUCTOS DE TABACO
activity_512210,512210,COMERCIO AL POR MAYOR DE BEBIDAS CON CONTENIDO ALCOHOLICO (IMPORTADORES)
activity_512211,512211,COMERCIO AL POR MAYOR DE OTROS ALIMENTOS N.C.P. GRAVADOS CON IVA
activity_512213,512213,COMERCIO AL POR MAYOR DE BEBIDAS GASEOSAS Y CARBONATADAS
